name,lsad,lat,lon,aland_sqmi
Eads town,43,38.481648,-102.779823,0.494
Eagle town,43,39.64322,-106.821344,5.843
East Pleasant View CDP,57,39.727694,-105.157236,0.111
Eaton town,43,40.525685,-104.712987,3.16
Echo Hills CDP,57,39.674738,-105.413419,0.568
Eckley town,43,40.112378,-102.4883,0.473
Edgewater city,25,39.750849,-105.06262,0.695
Edwards CDP,57,39.611824,-106.619702,26.636
Elbert CDP,57,39.218856,-104.540443,0.474
Eldora CDP,57,39.958253,-105.58498,4.156
Eldorado Springs CDP,57,39.939266,-105.249081,2.584
Elizabeth town,43,39.365262,-104.603915,2.16
El Jebel CDP,57,39.406991,-107.094217,5.305
Ellicott CDP,57,38.825585,-104.382873,10.922
El Moro CDP,57,37.246633,-104.453111,11.091
Empire town,43,39.75944,-105.681677,0.269
Englewood city,25,39.646979,-104.994465,6.561
Erie town,43,40.040287,-105.03831,20.738
Estes Park town,43,40.367046,-105.533861,6.695
Evans city,25,40.350165,-104.748355,10.501
Evergreen CDP,57,39.635607,-105.338089,11.522
Fairmount CDP,57,39.792569,-105.171157,6.081
Fairplay town,43,39.224332,-105.998396,1.149
Federal Heights city,25,39.864973,-105.01534,1.775
Firestone town,43,40.155676,-104.948619,13.899
Flagler town,43,39.296609,-103.064642,1.426
Fleming town,43,40.682075,-102.839631,0.489
Florence city,25,38.379615,-105.10023,4.494
Florissant CDP,57,38.944557,-105.28987,0.516
Floyd Hill CDP,57,39.719713,-105.434904,6.29
Fort Carson CDP,57,38.687426,-104.748914,27.969
Fort Collins city,25,40.548216,-105.064833,57.234
Fort Garland CDP,57,37.427916,-105.435008,0.376
Fort Lupton city,25,40.082813,-104.805544,12.954
Fort Morgan city,25,40.253003,-103.788652,5.337
Fountain city,25,38.68902,-104.680559,22.342
Four Square Mile CDP,57,39.680723,-104.887924,2.702
Fowler town,43,38.130619,-104.026096,0.559
Foxfield town,43,39.58814,-104.785741,1.323
Franktown CDP,57,39.390015,-104.74239,2.944
Fraser town,43,39.923294,-105.805268,3.457
Frederick town,43,40.105907,-104.974497,15.208
Frisco town,43,39.578482,-106.090973,1.67
Fruita city,25,39.155567,-108.729584,8.009
Fruitvale CDP,57,39.093304,-108.478819,2.859
Fulford CDP,57,39.518492,-106.65874,0.222
Garden City town,43,40.394591,-104.689494,0.113
Gardner CDP,57,37.788866,-105.164458,2.472
Garfield CDP,57,38.549268,-106.289276,0.341
Genesee CDP,57,39.687901,-105.271205,6.621
Genoa town,43,39.278218,-103.498717,0.31
Georgetown town,43,39.717886,-105.694488,1.
Gerrard CDP,57,37.678349,-106.575244,1.198
Gilcrest town,43,40.284156,-104.782024,0.811
Glendale city,25,39.703052,-104.936157,0.568
Glendale CDP,57,40.086911,-105.371546,1.255
Gleneagle CDP,57,39.039873,-104.825359,2.329
Glenwood Springs city,25,39.547132,-107.342556,5.835
Golden city,25,39.742483,-105.210561,9.634
Goldfield CDP,57,38.717645,-105.125328,0.141
Gold Hill CDP,57,40.059739,-105.418919,2.076
Granada town,43,38.062973,-102.311591,0.685
Granby town,43,40.064803,-105.919386,12.681
Grand Junction city,25,39.089062,-108.567452,40.619
Grand Lake town,43,40.255942,-105.828942,1.032
Grand View Estates CDP,57,39.542958,-104.822634,0.998
Greeley city,25,40.414034,-104.771043,49.434
Green Mountain Falls town,43,38.934954,-105.019664,1.159
Greenwood Village city,25,39.615934,-104.911688,8.264
Grover town,43,40.869111,-104.225932,0.595
Guffey CDP,57,38.760651,-105.509821,8.674
Gunbarrel CDP,57,40.063185,-105.171697,6.246
Gunnison city,25,38.547978,-106.924604,4.849
Gypsum town,43,39.620164,-106.956357,8.84
Hartman town,43,38.121128,-102.221608,0.274
Hartsel CDP,57,39.02263,-105.80057,0.2
Hasty CDP,57,38.102305,-102.969681,2.753
Haswell town,43,38.452492,-103.16498,0.803
Haxtun town,43,40.641872,-102.629703,0.595
Hayden town,43,40.492217,-107.264325,3.259
Heeney CDP,57,39.873988,-106.304155,0.227
Hidden Lake CDP,57,40.10516,-105.477571,0.611
Highlands Ranch CDP,57,39.540829,-104.971077,24.268
Hillrose town,43,40.324495,-103.522206,0.189
Hoehne CDP,57,37.281448,-104.389092,3.106
Holly town,43,38.055639,-102.124589,0.73
Holly Hills CDP,57,39.667727,-104.921622,0.58
